wavelength_nm,Dark,Light,Sample
405.77120922399814,1256.7178237152093,2867.954237823492,2830.8048046874987
405.983910816512,1257.1278174591057,2784.699008216855,2752.3470018768353
406.19660076896787,1256.738823394773,2893.943341255184,2856.9344059753444
406.4092790789278,1256.6488247680697,2799.12878803253,2764.226820602406
406.62194574395363,1257.2948149108852,2899.6512541580146,2860.4353525543033
406.8346007616074,1258.0533033370973,2891.2738819885267,2854.5159428787397
407.04724412945103,1255.27584571838,2920.9579290390056,2881.136036682122
407.25987584504634,1258.1688015747025,2915.083518676761,2877.693089218138
407.4724959059553,1256.486827239988,3010.536562156668,2972.0406495666375
407.68510430974,1258.2148008728038,2978.589049644464,2940.383632621761
407.89770105396224,1253.174877777099,2962.9767878723137,2921.7849164199943
408.11028613618396,1258.4422974014296,3015.238990402222,2974.716608734133
408.32285955396713,1255.1348478698724,3074.9740789031894,3032.130732650755
408.5354213048737,1256.675824356079,3198.642191848756,3155.7298466491766
408.74797138646557,1254.6613550949128,3117.3054329681336,3074.8870802307056
408.9605097963047,1257.4388127136237,3184.0764141082755,3138.848604240423
409.17303653195296,1253.7483690261822,3108.981559982302,3068.2496815109253
409.38555159097234,1261.1567559814428,3249.0039233779803,3203.1221234893883
409.59805497092486,1256.0908332824708,3158.2628079986566,3113.7439873123153
409.81054666937234,1259.6797785186773,3193.4552709960894,3147.944965438856
410.0230266838767,1257.6723091506947,3209.7485223770154,3163.972720870968
410.23549501199994,1257.5168115234358,3266.0521632385203,3220.6648558044376
410.44795165130404,1256.8973209762573,3256.576307830815,3211.4914957809365
410.66039659935086,1256.8103223037754,3260.877242202747,3215.1464400100713
410.8728298537023,1258.4332975387526,3249.293418960576,3202.8711273193435
411.0852514119204,1259.3912829208396,3356.6457808685304,3306.3280486679078
411.297661271567,1254.6618550872818,3290.8122854232806,3243.0810137558005
411.510059430204,1260.1842708206177,3391.7917445754965,3342.3489990234334
411.72244588539354,1255.9048361206014,3259.436764183049,3214.3524521255486
411.9348206346974,1258.579295310975,3309.907494049077,3263.0592089080874
412.14718367567764,1253.8578673553473,3468.511573905947,3416.1193733596892
412.35953500589596,1258.7512926864686,3443.9059493637224,3393.165723609916
412.57187462291455,1254.9123512649514,3410.819954223645,3360.3167248535224
412.78420252429515,1258.7297930145232,3426.7557110595762,3377.041969642636
412.99651870759976,1253.334875335691,3541.0014677810696,3489.5282532119713
413.2088231703905,1259.1927859497073,3403.8130611419633,3353.584827575681
413.421115910229,1255.0248495483352,3518.720307769787,3468.4530747985914
413.63339692467736,1259.0637879180892,3429.904163017259,3380.78591251373
413.8456662112975,1255.8303372573826,3449.61436225892,3397.027664680486
414.05792376765135,1257.8593062973046,3434.157598114018,3386.272328796384
414.27016959130094,1254.123863296507,3485.001322288512,3433.4471089553886
414.48240367980793,1258.9512896347046,3415.86337726592,3363.5041762161127
414.6946260307346,1257.1938164520232,3503.116045875563,3450.6953457641603
414.90683664164266,1258.2553002548195,3497.510631408693,3445.8499197006304
415.1190355100941,1255.126347999575,3541.5289597320534,3487.5907827758756
415.3312226336509,1258.4357975006087,3614.322848968511,3560.8186653900166
415.5433980098749,1256.0883333206177,3579.1328859329187,3525.9311977386496
415.7555616363282,1260.9082597732574,3599.3865768814017,3544.1214201736443
415.9677135105726,1259.6897783660884,3681.2598275756704,3624.496693725585
416.1798536301701,1260.421767196654,3559.7641814804024,3504.605523147581
416.39198199268253,1254.9608505249073,3664.6780805969192,3607.9489462280203
416.6040985956719,1255.0178496551553,3700.164539108285,3644.7668844223044
416.81620343670033,1254.197862167359,3684.557277259817,3627.7816436004605
417.0282965133294,1259.735277671817,3540.5784742355304,3488.48876907349
417.2403778231212,1253.682370033263,3664.2345873642034,3609.2384265518112
417.4524473636378,1256.277330436704,3653.438252105711,3599.7820708465633
417.664505132441,1256.3398294830351,3819.498218193046,3759.8606282043397
417.87655112709274,1257.4553124618494,3620.9757474517787,3565.6320919418304
418.0885853451549,1255.9718350982628,3754.6042084121605,3697.852074394229
418.30060778418965,1256.4383279800425,3789.667673377991,3732.200550270076
418.51261844175866,1257.0613184738147,3733.7305269241183,3678.156874923701
418.724617315424,1257.2043162918092,3735.8534945297206,3680.8503338241517
418.93660440274755,1254.3978591155994,3747.3068197631665,3691.9681641769425
419.1485797012913,1261.2747541809115,3734.3985167312635,3678.8908637237587
419.3605432086172,1257.5813105392476,3751.7802515029807,3695.43811122893
419.5724949222871,1259.4787815856926,3756.046686401373,3700.343536376956
